Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,28.28,59.83,NA,NA,NA,NA,12.60,0.36,6.68,NA,NA,NA,NA,NA,NA,NA,NA,0.93,354.97,NA,NA,NA,NA,NA
2025-01-01 00:15:00,28.28,59.83,NA,NA,NA,NA,12.85,0.54,6.68,NA,NA,NA,NA,NA,NA,NA,NA,0.66,354.20,NA,NA,NA,NA,NA
2025-01-01 00:30:00,28.21,59.71,NA,NA,NA,NA,13.25,0.45,6.17,NA,NA,NA,NA,NA,NA,NA,NA,0.83,348.43,NA,NA,NA,NA,NA
2025-01-01 00:45:00,27.68,58.56,NA,NA,NA,NA,13.56,0.61,6.40,NA,NA,NA,NA,NA,NA,NA,NA,0.77,353.64,NA,NA,NA,NA,NA
2025-01-01 01:00:00,27.68,58.56,NA,NA,NA,NA,13.68,0.54,6.23,NA,NA,NA,NA,NA,NA,NA,NA,0.85,348.09,NA,NA,NA,NA,NA
2025-01-01 01:15:00,27.68,58.56,NA,NA,NA,NA,13.33,0.42,6.01,NA,NA,NA,NA,NA,NA,NA,NA,0.73,349.27,NA,NA,NA,NA,NA
2025-01-01 01:30:00,27.86,58.94,NA,NA,NA,NA,13.35,0.52,6.14,NA,NA,NA,NA,NA,NA,NA,NA,0.82,353.13,NA,NA,NA,NA,NA
2025-01-01 01:45:00,29.45,62.32,NA,NA,NA,NA,13.87,0.51,6.15,NA,NA,NA,NA,NA,NA,NA,NA,0.73,354.66,NA,NA,NA,NA,NA
2025-01-01 02:00:00,29.45,62.32,NA,NA,NA,NA,14.04,0.58,6.13,NA,NA,NA,NA,NA,NA,NA,NA,0.73,350.54,NA,NA,NA,NA,NA
2025-01-01 02:15:00,29.45,62.32,NA,NA,NA,NA,13.62,0.47,5.84,NA,NA,NA,NA,NA,NA,NA,NA,0.49,342.39,NA,NA,NA,NA,NA
2025-01-01 02:30:00,29.38,62.14,NA,NA,NA,NA,13.58,0.39,5.51,NA,NA,NA,NA,NA,NA,NA,NA,0.70,335.80,NA,NA,NA,NA,NA
2025-01-01 02:45:00,28.70,60.72,NA,NA,NA,NA,13.77,0.32,6.05,NA,NA,NA,NA,NA,NA,NA,NA,0.61,333.25,NA,NA,NA,NA,NA
2025-01-01 03:00:00,28.70,60.72,NA,NA,NA,NA,13.97,0.37,6.24,NA,NA,NA,NA,NA,NA,NA,NA,0.85,337.45,NA,NA,NA,NA,NA
2025-01-01 03:15:00,28.70,60.72,NA,NA,NA,NA,13.47,0.45,6.33,NA,NA,NA,NA,NA,NA,NA,NA,0.78,348.16,NA,NA,NA,NA,NA
2025-01-01 03:30:00,28.55,60.44,NA,NA,NA,NA,13.34,0.43,5.83,NA,NA,NA,NA,NA,NA,NA,NA,0.82,345.68,NA,NA,NA,NA,NA
2025-01-01 03:45:00,28.55,60.44,NA,NA,NA,NA,13.34,0.43,5.83,NA,NA,NA,NA,NA,NA,NA,NA,0.82,345.68,NA,NA,NA,NA,NA
2025-01-01 04:00:00,27.40,57.97,NA,NA,NA,NA,13.44,0.39,6.13,NA,NA,NA,NA,NA,NA,NA,NA,0.77,348.79,NA,NA,NA,NA,NA
2025-01-01 04:15:00,27.40,57.97,NA,NA,NA,NA,13.53,0.50,6.07,NA,NA,NA,NA,NA,NA,NA,NA,0.71,333.00,NA,NA,NA,NA,NA
2025-01-01 04:30:00,27.57,58.37,NA,NA,NA,NA,13.77,0.38,5.96,NA,NA,NA,NA,NA,NA,NA,NA,0.67,327.72,NA,NA,NA,NA,NA
2025-01-01 04:45:00,29.08,61.52,NA,NA,NA,NA,13.53,0.37,5.75,NA,NA,NA,NA,NA,NA,NA,NA,0.69,327.30,NA,NA,NA,NA,NA
2025-01-01 05:00:00,29.08,61.52,NA,NA,NA,NA,13.52,0.34,6.16,NA,NA,NA,NA,NA,NA,NA,NA,0.79,338.98,NA,NA,NA,NA,NA
2025-01-01 05:15:00,29.08,61.52,NA,NA,NA,NA,13.07,0.58,6.35,NA,NA,NA,NA,NA,NA,NA,NA,0.72,347.12,NA,NA,NA,NA,NA
2025-01-01 05:30:00,29.03,61.42,NA,NA,NA,NA,13.38,0.58,6.53,NA,NA,NA,NA,NA,NA,NA,NA,0.78,356.82,NA,NA,NA,NA,NA
2025-01-01 05:45:00,28.61,60.54,NA,NA,NA,NA,13.75,0.46,6.21,NA,NA,NA,NA,NA,NA,NA,NA,0.80,0.18,NA,NA,NA,NA,NA
2025-01-01 06:00:00,28.61,60.54,NA,NA,NA,NA,13.64,0.60,5.99,NA,NA,NA,NA,NA,NA,NA,NA,0.52,335.90,NA,NA,NA,NA,NA
2025-01-01 06:15:00,28.61,60.54,NA,NA,NA,NA,13.62,0.65,5.83,NA,NA,NA,NA,NA,NA,NA,NA,0.57,337.80,NA,NA,NA,NA,NA
2025-01-01 06:30:00,28.72,60.79,NA,NA,NA,NA,13.35,0.73,5.96,NA,NA,NA,NA,NA,NA,NA,NA,0.76,343.31,NA,NA,NA,NA,NA
