Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,102.33,100.50,30.36,20.04,35.38,NA,NA,0.99,46.12,NA,NA,21.01,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:15:00,106.00,99.93,31.50,21.40,36.92,NA,NA,1.16,47.59,NA,NA,20.87,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:30:00,110.85,113.60,10.40,30.37,24.58,NA,NA,0.90,48.42,NA,NA,20.96,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:45:00,115.49,117.72,15.65,26.03,26.60,NA,NA,1.01,47.74,NA,NA,20.92,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:00:00,112.93,114.48,18.16,24.25,27.64,NA,NA,0.98,46.33,NA,NA,20.88,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:15:00,109.43,113.61,13.35,28.35,25.93,NA,NA,0.84,47.44,NA,NA,20.97,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:30:00,110.26,123.46,11.63,26.16,23.36,NA,NA,0.79,47.66,NA,NA,20.84,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:45:00,109.14,137.65,10.13,24.07,21.04,NA,NA,0.77,47.11,NA,NA,20.93,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:00:00,106.92,143.76,20.13,19.25,26.68,NA,NA,0.91,46.85,NA,NA,20.89,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:15:00,103.11,138.09,39.94,12.68,39.29,NA,NA,1.17,47.02,NA,NA,20.85,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:30:00,106.05,141.79,41.26,12.92,40.40,NA,NA,1.21,47.67,NA,NA,20.94,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:45:00,110.65,151.57,25.80,14.35,28.52,NA,NA,0.98,47.20,NA,NA,20.87,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:00:00,120.31,158.44,23.03,19.64,29.21,NA,NA,0.92,48.04,NA,NA,20.88,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:15:00,118.22,150.43,35.80,14.19,36.71,NA,NA,1.02,48.20,NA,NA,20.96,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:30:00,115.15,144.49,35.10,15.50,36.76,NA,NA,0.95,49.00,NA,NA,20.89,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:45:00,114.89,137.14,32.09,15.45,34.29,NA,NA,0.87,47.58,NA,NA,20.95,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:00:00,108.58,126.08,27.72,16.51,31.30,NA,NA,0.86,48.27,NA,NA,20.96,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:15:00,97.32,121.34,26.74,16.61,30.57,NA,NA,0.85,49.58,NA,NA,21.05,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:30:00,89.25,113.44,17.28,21.66,25.53,NA,NA,0.71,48.76,NA,NA,20.98,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:45:00,91.60,108.53,11.43,23.53,21.78,NA,NA,0.58,49.40,NA,NA,21.07,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:00:00,93.58,90.89,8.52,21.76,18.49,NA,NA,0.51,48.33,NA,NA,20.99,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:15:00,91.52,93.65,6.70,24.02,18.23,NA,NA,0.48,48.05,NA,NA,20.92,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:30:00,104.18,92.32,6.38,23.34,17.61,NA,NA,0.49,48.28,NA,NA,21.06,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:45:00,116.08,96.47,7.02,21.01,16.89,NA,NA,0.47,47.66,NA,NA,20.92,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:00:00,112.21,92.51,5.97,20.70,15.85,NA,NA,0.44,47.88,NA,NA,20.95,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:15:00,99.00,87.36,4.90,19.08,14.13,NA,NA,0.42,48.64,NA,NA,21.01,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:30:00,94.02,77.55,4.35,15.88,11.99,NA,NA,0.32,49.46,NA,NA,20.93,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
