Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,210.16,270.90,24.02,11.41,25.60,NA,NA,0.92,6.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:15:00,184.23,247.74,24.49,11.27,25.90,NA,NA,0.91,6.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:30:00,156.18,233.73,24.86,11.18,26.16,NA,NA,0.89,8.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:45:00,151.51,229.67,25.13,10.92,26.24,NA,NA,0.87,13.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:00:00,161.21,227.99,25.52,10.52,26.34,NA,NA,0.87,12.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:15:00,167.00,235.91,25.59,10.89,26.60,NA,NA,0.90,9.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:30:00,163.37,268.25,26.07,10.25,26.65,NA,NA,0.91,13.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:45:00,160.67,292.67,26.11,10.41,26.77,NA,NA,0.91,9.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:00:00,159.76,280.35,26.61,10.65,27.30,NA,NA,0.89,9.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:15:00,149.22,247.92,26.94,10.46,27.45,NA,NA,0.85,14.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:30:00,120.54,224.43,26.80,10.43,27.34,NA,NA,0.84,8.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:45:00,88.76,222.55,26.51,10.30,27.04,NA,NA,0.82,6.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:00:00,80.74,230.02,26.03,10.71,26.86,NA,NA,0.81,8.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:15:00,88.52,240.26,26.04,10.19,26.59,NA,NA,0.79,9.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:30:00,87.63,233.57,25.68,10.97,26.72,NA,NA,0.79,6.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:45:00,91.79,214.16,25.68,10.71,26.58,NA,NA,0.78,9.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:00:00,103.37,193.66,25.53,10.60,26.39,NA,NA,0.77,10.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:15:00,119.77,181.72,25.38,10.54,26.24,NA,NA,0.77,9.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:30:00,128.24,185.04,24.83,10.77,25.92,NA,NA,0.73,8.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:45:00,117.66,178.94,24.49,10.46,25.48,NA,NA,0.73,10.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:00:00,109.01,169.91,24.13,10.76,25.34,NA,NA,0.72,10.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:15:00,106.72,167.27,23.76,11.01,25.18,NA,NA,0.71,12.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:30:00,116.75,185.33,23.43,10.99,24.90,NA,NA,0.71,18.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:45:00,133.27,198.43,23.11,11.04,24.66,NA,NA,0.70,20.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:00:00,148.96,209.58,22.51,11.02,24.17,NA,NA,0.68,25.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:15:00,142.42,208.68,22.08,11.35,23.99,NA,NA,0.67,23.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:30:00,131.62,199.00,21.90,10.98,23.65,NA,NA,0.66,25.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:45:00,128.15,192.01,21.18,11.24,23.20,NA,NA,0.66,24.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:00:00,134.08,182.10,20.93,11.33,23.04,NA,NA,0.64,25.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:15:00,134.45,176.18,20.82,10.98,22.77,NA,NA,0.65,23.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:30:00,124.94,178.21,20.47,11.33,22.67,NA,NA,0.63,22.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:45:00,116.83,182.79,20.01,11.62,22.45,NA,NA,0.62,25.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:00:00,109.73,179.39,19.74,11.53,22.18,NA,NA,0.63,26.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:15:00,117.32,173.04,19.52,11.27,21.86,NA,NA,0.63,26.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:30:00,124.20,173.95,19.20,11.36,21.65,NA,NA,0.63,23.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:45:00,124.04,180.85,19.06,11.52,21.63,NA,NA,0.60,28.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:00:00,122.39,176.86,18.59,11.52,21.24,NA,NA,0.62,28.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:15:00,118.01,163.29,18.27,11.39,20.91,NA,NA,0.59,30.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:30:00,109.65,159.15,17.76,11.60,20.61,NA,NA,0.59,28.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:45:00,102.73,158.53,17.41,11.42,20.23,NA,NA,0.60,32.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 10:00:00,104.08,150.74,16.94,11.89,20.10,NA,NA,0.58,34.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 10:15:00,110.40,139.40,16.52,11.88,19.75,NA,NA,0.58,31.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 10:30:00,105.52,134.86,16.00,12.14,19.47,NA,NA,0.57,36.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 10:45:00,112.37,144.07,15.69,11.70,18.98,NA,NA,0.57,29.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 11:00:00,109.16,157.99,15.67,11.67,18.95,NA,NA,0.59,28.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 11:15:00,117.97,174.22,15.68,11.52,18.88,NA,NA,0.58,28.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 11:30:00,127.00,188.63,15.46,12.05,18.98,NA,NA,0.58,28.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 11:45:00,130.83,203.06,15.82,11.83,19.15,NA,NA,0.57,34.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 12:00:00,116.81,201.63,15.27,12.32,18.97,NA,NA,0.55,35.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 12:15:00,99.14,176.69,15.06,12.07,18.67,NA,NA,0.55,36.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 12:30:00,93.65,175.18,15.36,11.69,18.70,NA,NA,0.54,35.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 12:45:00,98.56,186.45,15.31,12.09,18.88,NA,NA,0.61,35.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 13:00:00,129.72,214.88,15.20,11.98,18.73,NA,NA,0.58,35.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 13:15:00,178.99,228.79,15.13,12.69,19.05,NA,NA,0.58,39.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 13:30:00,201.83,223.53,15.19,12.04,18.76,NA,NA,0.55,47.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 13:45:00,191.53,196.51,14.98,11.86,18.49,NA,NA,0.56,49.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 14:00:00,164.69,165.56,14.65,12.55,18.59,NA,NA,0.54,53.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 14:15:00,149.38,160.08,14.29,12.61,18.32,NA,NA,0.53,47.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 14:30:00,136.41,160.34,14.16,12.43,18.13,NA,NA,0.54,52.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 14:45:00,131.10,161.22,14.01,12.23,17.89,NA,NA,0.55,55.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 15:00:00,135.96,154.80,13.57,12.99,17.95,NA,NA,0.52,49.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
