Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,35.27,73.80,7.79,5.00,9.24,9.47,NA,0.19,21.40,0.14,NA,NA,NA,3.00,0.76,53.28,99.89,0.92,63.15,NA,0.00,NA,999.90,NA
2025-01-01 00:15:00,32.34,69.47,7.84,4.81,9.09,9.48,NA,0.19,19.51,0.14,NA,NA,NA,1.88,0.43,53.26,99.89,0.92,63.65,NA,0.00,NA,999.90,NA
2025-01-01 00:30:00,31.97,69.47,8.28,4.06,8.80,9.48,NA,0.19,18.34,0.14,NA,NA,NA,1.12,0.86,53.23,99.89,0.94,63.50,NA,0.00,NA,999.90,NA
2025-01-01 00:45:00,31.97,69.47,8.25,4.72,9.42,9.46,NA,0.19,17.73,0.14,NA,NA,NA,1.81,0.41,53.23,99.89,0.92,65.22,NA,0.00,NA,999.90,NA
2025-01-01 01:00:00,31.97,68.64,8.34,6.12,10.90,9.48,NA,0.19,17.90,0.14,NA,NA,NA,1.34,0.78,53.20,99.89,0.92,64.66,NA,0.00,NA,999.90,NA
2025-01-01 01:15:00,33.05,67.07,8.37,6.96,11.78,9.48,NA,0.19,17.97,0.14,NA,NA,NA,0.57,0.37,53.21,99.89,0.93,63.17,NA,0.00,NA,999.90,NA
2025-01-01 01:30:00,33.17,67.07,9.16,7.03,12.64,9.50,NA,0.19,17.55,0.14,NA,NA,NA,1.45,0.80,53.12,99.89,0.93,64.77,NA,0.00,NA,999.90,NA
2025-01-01 01:45:00,33.17,67.07,10.37,7.81,14.64,9.47,NA,0.19,17.67,0.14,NA,NA,NA,0.74,0.92,53.05,99.89,0.91,63.09,NA,0.00,NA,999.90,NA
2025-01-01 02:00:00,33.17,74.32,10.77,9.23,16.45,9.47,NA,0.19,17.34,0.14,NA,NA,NA,2.14,1.51,53.06,99.89,0.92,63.35,NA,0.00,NA,999.90,NA
2025-01-01 02:15:00,37.70,87.47,11.04,12.86,20.35,9.46,NA,0.19,17.41,0.14,NA,NA,NA,1.11,0.63,53.09,99.89,0.91,62.85,NA,0.00,NA,999.90,NA
2025-01-01 02:30:00,38.27,87.47,11.33,13.83,21.62,9.47,NA,0.19,17.48,0.14,NA,NA,NA,2.46,1.23,53.04,99.89,0.90,62.44,NA,0.00,NA,999.90,NA
2025-01-01 02:45:00,38.27,87.47,10.53,11.92,18.89,9.48,NA,0.19,18.35,0.14,NA,NA,NA,0.75,2.64,53.02,99.89,0.92,62.24,NA,0.00,NA,999.90,NA
2025-01-01 03:00:00,38.27,87.47,9.72,8.33,14.50,9.46,NA,0.19,19.09,0.14,NA,NA,NA,0.17,0.38,52.99,99.89,0.91,63.35,NA,0.00,NA,999.90,NA
2025-01-01 03:15:00,36.94,87.47,8.98,7.83,13.26,9.46,NA,0.19,19.27,0.14,NA,NA,NA,0.02,0.34,52.99,99.89,0.91,63.20,NA,0.00,NA,999.90,NA
2025-01-01 03:30:00,36.77,87.47,8.80,7.42,12.64,9.44,NA,0.19,18.69,0.14,NA,NA,NA,NA,NA,53.00,99.89,0.90,62.01,NA,0.00,NA,999.90,NA
2025-01-01 03:45:00,36.77,87.47,8.85,6.08,11.40,9.46,NA,0.19,18.27,0.14,NA,NA,NA,0.20,0.29,52.90,99.89,0.84,45.46,NA,0.00,NA,999.90,NA
2025-01-01 04:00:00,36.77,81.50,9.11,5.64,11.19,9.44,NA,0.19,18.39,0.14,NA,NA,NA,0.82,0.84,52.95,99.89,0.86,55.62,NA,0.00,NA,999.90,NA
2025-01-01 04:15:00,35.69,70.67,9.17,5.61,11.24,9.43,NA,0.19,18.88,0.14,NA,NA,NA,0.69,0.25,52.94,99.89,0.80,40.31,NA,0.00,NA,999.90,NA
2025-01-01 04:30:00,35.57,70.67,9.06,5.30,10.80,9.43,NA,0.19,18.89,0.14,NA,NA,NA,0.23,1.67,52.79,99.89,0.78,30.42,NA,0.00,NA,999.90,NA
2025-01-01 04:45:00,35.57,70.67,8.94,4.91,10.31,9.43,NA,0.19,19.56,0.14,NA,NA,NA,0.86,3.00,52.73,99.89,0.71,28.90,NA,0.00,NA,999.90,NA
2025-01-01 05:00:00,35.57,70.46,8.53,6.17,11.13,9.42,NA,0.19,19.75,0.14,NA,NA,NA,1.17,1.61,52.78,99.89,0.64,27.88,NA,0.00,NA,999.90,NA
2025-01-01 05:15:00,34.50,70.07,9.26,5.10,10.81,9.39,NA,0.19,19.01,0.14,NA,NA,NA,0.20,4.21,52.78,99.89,0.57,75.99,NA,0.00,NA,999.90,NA
2025-01-01 05:30:00,34.37,70.07,9.08,3.75,9.29,9.41,NA,0.19,18.65,0.14,NA,NA,NA,0.36,3.10,52.74,99.89,0.48,111.31,NA,0.00,NA,999.90,NA
2025-01-01 05:45:00,34.37,70.07,8.90,4.06,9.40,9.40,NA,0.19,19.26,0.14,NA,NA,NA,0.69,0.42,52.70,99.89,0.42,207.29,NA,0.00,NA,999.90,NA
2025-01-01 06:00:00,34.37,67.18,8.88,4.51,9.83,9.40,NA,0.19,20.77,0.14,NA,NA,NA,2.73,1.76,52.76,99.89,0.41,187.66,NA,0.00,NA,999.90,NA
2025-01-01 06:15:00,30.86,61.67,8.72,4.68,9.86,9.42,NA,0.19,22.18,0.14,NA,NA,NA,2.11,1.59,52.72,99.89,0.41,235.48,NA,0.00,NA,999.90,NA
