Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,73.73,99.10,14.45,23.70,38.15,2.31,8.39,0.58,11.20,0.00,NA,NA,NA,NA,NA,28.71,99.40,4.06,289.65,NA,0.00,NA,1014.74,NA
2025-01-01 00:15:00,76.20,99.10,14.43,23.66,38.09,2.31,8.29,0.58,10.98,0.00,NA,NA,NA,NA,NA,28.62,99.40,4.02,289.74,NA,0.00,NA,1014.55,NA
2025-01-01 00:30:00,76.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:45:00,76.20,98.59,14.03,23.00,37.03,2.24,8.39,0.56,11.24,0.00,NA,NA,NA,NA,NA,28.64,99.40,4.04,290.01,NA,0.00,NA,1014.43,NA
2025-01-01 01:00:00,67.92,90.00,13.62,22.33,35.95,2.18,8.39,0.54,10.85,0.00,NA,NA,NA,NA,NA,28.63,99.40,4.04,289.88,NA,0.00,NA,1014.38,NA
2025-01-01 01:15:00,65.40,90.00,13.81,22.64,36.45,2.21,8.29,0.55,10.72,0.00,NA,NA,NA,NA,NA,28.65,99.40,4.07,229.97,NA,0.00,NA,1014.20,NA
2025-01-01 01:30:00,65.40,90.00,14.14,23.19,37.34,2.26,8.39,0.57,10.89,0.00,NA,NA,NA,NA,NA,28.60,99.40,4.06,190.12,NA,0.00,NA,1014.00,NA
2025-01-01 01:45:00,65.40,89.07,14.17,23.23,37.40,2.27,8.29,0.57,10.71,0.00,NA,NA,NA,NA,NA,28.56,99.40,4.06,190.00,NA,0.00,NA,1013.77,NA
2025-01-01 02:00:00,58.87,76.00,14.08,23.10,37.18,2.25,8.38,0.56,10.97,0.00,NA,NA,NA,NA,NA,28.42,99.40,4.05,190.16,NA,0.00,NA,1013.71,NA
2025-01-01 02:15:00,57.00,76.00,14.24,23.36,37.59,2.28,8.38,0.57,10.96,0.00,NA,NA,NA,NA,NA,28.36,99.40,4.08,249.66,NA,0.00,NA,1013.65,NA
2025-01-01 02:30:00,57.00,76.00,15.69,25.74,41.43,2.51,8.38,0.63,10.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:45:00,57.00,77.31,14.89,24.42,39.31,2.38,8.38,0.60,10.88,0.00,NA,NA,NA,NA,NA,28.41,99.40,4.08,289.80,NA,0.00,NA,1013.55,NA
2025-01-01 03:00:00,63.30,95.60,15.21,24.95,40.16,2.43,8.38,0.61,10.72,0.00,NA,NA,NA,NA,NA,28.58,99.40,4.08,289.09,NA,0.00,NA,1013.42,NA
2025-01-01 03:15:00,65.10,95.60,14.99,24.59,39.58,2.40,8.38,0.60,11.03,0.00,NA,NA,NA,NA,NA,28.45,99.40,4.07,230.69,NA,0.00,NA,1013.33,NA
2025-01-01 03:30:00,65.10,95.60,14.75,24.19,38.93,2.36,8.39,0.59,10.78,0.00,NA,NA,NA,NA,NA,28.38,99.40,4.06,190.36,NA,0.00,NA,1013.21,NA
2025-01-01 03:45:00,65.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:00:00,65.10,94.90,14.75,24.19,38.94,2.36,8.38,0.59,10.95,0.00,NA,NA,NA,NA,NA,28.27,99.40,4.08,190.43,NA,0.00,NA,1013.19,NA
2025-01-01 04:15:00,65.10,94.90,14.32,23.49,37.81,2.29,8.38,0.57,10.96,0.00,NA,NA,NA,NA,NA,28.21,99.40,4.02,190.11,NA,0.00,NA,1013.09,NA
2025-01-01 04:30:00,65.10,94.90,14.24,23.35,37.58,2.28,8.38,0.57,10.83,0.00,NA,NA,NA,NA,NA,28.49,99.40,4.04,189.71,NA,0.00,NA,1013.13,NA
2025-01-01 04:45:00,65.10,94.57,14.02,22.99,37.01,2.24,8.29,0.56,10.92,0.00,NA,NA,NA,NA,NA,28.64,99.40,4.05,189.70,NA,0.00,NA,1013.12,NA
2025-01-01 05:00:00,65.57,90.00,13.71,22.49,36.20,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:15:00,65.70,90.00,13.96,22.89,36.85,2.23,8.39,0.56,10.72,0.00,NA,NA,NA,NA,NA,28.79,99.40,4.03,250.48,NA,0.00,NA,1013.18,NA
2025-01-01 05:30:00,65.70,90.00,13.81,22.66,36.47,2.21,8.39,0.55,11.00,0.00,NA,NA,NA,NA,NA,28.69,99.40,3.97,291.60,NA,0.00,NA,1013.31,NA
2025-01-01 05:45:00,65.70,90.37,13.88,22.77,36.65,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:00:00,66.63,95.60,13.69,22.45,36.13,2.19,8.38,0.55,11.26,0.00,NA,NA,NA,NA,NA,28.58,99.40,4.12,289.26,NA,0.00,NA,1013.53,NA
2025-01-01 06:15:00,66.90,95.60,13.74,22.54,36.28,2.20,8.29,0.55,10.98,0.00,NA,NA,NA,NA,NA,28.52,99.40,4.43,129.85,NA,0.00,NA,1013.55,NA
2025-01-01 06:30:00,66.90,95.60,13.48,22.10,35.58,2.16,8.38,0.54,10.95,0.00,NA,NA,NA,NA,NA,28.40,99.40,4.69,82.60,NA,0.00,NA,1013.62,NA
2025-01-01 06:45:00,66.90,95.41,13.16,21.58,34.74,2.11,8.38,0.53,10.87,0.00,NA,NA,NA,NA,NA,28.47,99.40,4.02,290.65,NA,0.00,NA,1013.70,NA
2025-01-01 07:00:00,64.57,92.80,13.18,21.62,34.80,2.11,8.38,0.53,11.19,0.00,NA,NA,NA,NA,NA,28.54,99.40,3.94,292.32,NA,0.00,NA,1013.96,NA
2025-01-01 07:15:00,63.90,92.80,12.87,21.10,33.97,2.06,8.38,0.51,10.83,0.00,NA,NA,NA,NA,NA,28.58,99.40,3.90,229.34,NA,0.00,NA,1014.10,NA
2025-01-01 07:30:00,63.90,92.80,12.92,21.19,34.11,2.07,8.38,0.52,10.97,0.00,NA,NA,NA,NA,NA,28.61,99.40,3.97,186.57,NA,0.00,NA,1014.40,NA
2025-01-01 07:45:00,63.90,92.53,12.84,21.05,33.89,2.05,8.38,0.51,11.00,0.00,NA,NA,NA,NA,NA,28.82,99.40,4.06,189.19,NA,0.00,NA,1014.60,NA
2025-01-01 08:00:00,59.70,87.90,12.71,20.84,33.54,2.03,8.38,0.51,10.87,0.00,NA,NA,NA,NA,NA,29.24,99.40,4.06,188.80,NA,0.00,NA,1014.80,NA
2025-01-01 08:15:00,58.50,87.90,12.86,21.10,33.96,2.06,8.38,0.51,10.88,0.00,NA,NA,NA,NA,NA,29.69,99.40,4.03,249.93,NA,0.00,NA,1015.06,NA
2025-01-01 08:30:00,58.50,87.90,12.97,21.27,34.24,2.08,8.38,0.52,11.02,0.00,NA,NA,NA,NA,NA,30.18,99.40,3.94,291.65,NA,0.00,NA,1015.23,NA
2025-01-01 08:45:00,58.50,88.50,12.84,21.05,33.89,2.05,8.28,0.51,10.64,0.00,NA,NA,NA,NA,NA,30.72,99.40,3.80,293.50,NA,0.00,NA,1015.51,NA
2025-01-01 09:00:00,62.70,95.60,12.76,20.93,33.70,2.04,8.38,0.51,10.82,0.00,NA,NA,NA,NA,NA,31.29,99.40,3.83,294.40,NA,0.00,NA,1015.70,NA
2025-01-01 09:15:00,63.90,95.60,12.71,20.84,33.55,2.03,8.38,0.51,11.14,0.00,NA,NA,NA,NA,NA,31.94,99.40,3.80,294.88,NA,0.00,NA,1015.80,NA
2025-01-01 09:30:00,63.90,95.60,12.36,20.27,32.64,1.98,8.38,0.49,10.92,0.00,NA,NA,NA,NA,NA,32.58,99.40,3.79,295.23,NA,0.00,NA,1015.88,NA
2025-01-01 09:45:00,63.90,95.44,12.48,20.47,32.94,2.00,8.39,0.50,11.01,0.00,NA,NA,NA,NA,NA,33.01,99.40,3.82,294.91,NA,0.00,NA,1016.00,NA
2025-01-01 10:00:00,59.23,93.50,12.30,20.17,32.47,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
