Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,84.83,221.30,47.56,60.28,98.94,71.12,16.97,1.65,0.19,26.60,5.84,NA,NA,28.42,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:15:00,86.43,216.11,NA,58.31,109.42,72.87,18.98,1.65,0.09,19.21,6.07,NA,NA,26.83,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:30:00,86.43,216.11,NA,58.22,108.39,70.91,18.79,1.65,0.01,9.06,6.05,NA,NA,25.35,34.81,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:45:00,86.43,216.11,36.58,59.73,89.47,68.50,18.37,1.65,NA,8.83,6.00,NA,NA,23.48,34.39,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:00:00,88.95,211.59,22.94,58.05,76.70,68.60,19.73,1.65,1.02,10.78,6.26,NA,NA,22.13,33.08,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:15:00,89.54,209.94,11.67,53.10,62.58,68.19,19.73,1.65,1.27,18.12,6.73,NA,NA,20.95,30.61,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:30:00,89.54,209.94,9.69,49.45,57.32,68.39,20.06,1.65,2.30,24.03,7.14,NA,NA,19.87,27.63,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:45:00,89.54,209.94,7.75,41.70,48.01,66.19,19.55,1.65,4.60,21.80,7.45,NA,NA,18.98,25.66,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:00:00,92.69,182.76,7.41,37.92,43.95,67.48,19.75,1.65,6.78,24.63,7.27,NA,NA,18.14,23.90,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:15:00,93.47,175.48,6.97,34.28,39.95,67.34,20.08,1.65,8.61,20.64,6.57,NA,NA,17.35,22.64,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:30:00,93.47,175.48,6.45,30.53,35.77,66.64,20.29,1.65,15.14,7.71,6.10,NA,NA,16.57,21.55,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:45:00,93.47,175.48,6.30,30.03,35.15,65.46,19.38,1.65,12.86,9.57,6.11,NA,NA,15.56,20.21,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:00:00,85.76,152.81,6.79,29.97,35.48,65.33,19.67,1.65,10.76,12.31,6.22,NA,NA,14.23,18.55,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:15:00,83.83,145.03,6.32,28.28,33.42,64.86,19.69,1.65,10.98,11.93,6.07,NA,NA,13.56,17.93,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:30:00,83.83,145.03,5.87,26.65,31.42,63.37,20.33,1.65,11.67,10.50,6.04,NA,NA,13.51,17.88,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:45:00,83.83,145.03,6.19,25.78,30.81,62.33,19.05,1.65,10.76,10.25,6.10,NA,NA,13.05,17.13,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:00:00,78.88,137.79,6.78,27.18,32.69,61.15,18.93,1.65,8.82,9.53,6.27,NA,NA,12.53,16.84,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:15:00,77.72,135.16,7.48,27.80,33.88,62.16,18.83,1.65,6.53,10.20,6.20,NA,NA,12.04,16.18,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:30:00,77.72,135.16,7.53,28.92,35.04,62.19,20.61,1.65,5.10,10.81,5.88,NA,NA,12.09,16.12,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:45:00,77.72,135.16,6.67,28.80,34.22,61.69,18.08,1.65,8.23,10.84,6.02,NA,NA,12.36,16.36,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:00:00,83.20,144.60,7.49,30.15,36.25,60.43,18.11,1.65,6.34,18.28,6.27,NA,NA,12.18,16.15,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:15:00,84.57,146.97,13.66,32.63,43.74,57.44,16.81,1.65,0.65,22.69,6.88,NA,NA,11.56,15.43,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:30:00,84.57,146.97,16.21,35.12,48.29,54.34,16.32,1.65,1.13,12.28,6.79,NA,NA,10.69,14.17,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:45:00,84.57,146.97,17.46,35.20,49.40,55.09,16.66,1.65,1.73,17.20,6.54,NA,NA,10.24,8.03,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:00:00,83.07,142.93,29.49,36.46,60.44,57.77,16.83,1.65,0.51,24.73,6.81,NA,NA,10.79,5.90,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:15:00,82.72,141.70,24.54,37.42,57.38,56.11,17.38,1.65,0.07,23.25,7.20,NA,NA,11.38,14.50,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:30:00,82.72,141.70,11.38,35.33,44.58,55.00,16.60,1.65,3.92,23.44,7.01,NA,NA,12.18,15.55,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:45:00,82.72,141.70,NA,NA,45.24,55.54,NA,NA,NA,23.10,6.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:00:00,88.41,144.84,17.87,40.42,54.94,56.91,15.76,1.65,1.53,20.71,7.61,NA,NA,11.98,0.60,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:15:00,89.73,145.98,17.22,39.77,53.77,56.60,16.01,1.65,1.58,18.32,8.25,NA,NA,11.29,6.08,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:30:00,89.73,145.98,13.44,37.24,48.16,55.97,16.96,1.65,4.43,18.58,8.26,NA,NA,10.98,14.24,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:45:00,89.73,145.98,13.28,37.26,48.07,55.90,16.35,1.65,5.62,16.92,8.64,NA,NA,10.84,8.75,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:00:00,82.15,140.84,13.28,35.92,46.72,54.88,NA,1.65,9.05,15.57,9.33,NA,NA,10.64,0.64,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:15:00,80.39,139.46,11.13,32.84,41.89,53.57,0.55,1.65,11.74,16.40,10.02,NA,NA,10.48,5.60,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:30:00,80.39,139.46,9.84,29.69,37.68,51.55,0.67,1.65,15.78,15.97,10.38,NA,NA,10.60,8.78,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:45:00,80.39,139.46,9.92,27.86,35.92,51.66,0.98,1.65,19.10,15.20,11.20,NA,NA,10.58,6.77,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:00:00,69.00,135.06,8.28,23.84,30.57,50.37,1.20,1.65,23.81,13.83,13.41,NA,NA,9.96,13.07,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:15:00,66.35,134.04,7.68,22.81,29.05,50.22,1.56,1.65,29.26,12.32,21.58,NA,NA,9.63,12.54,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:30:00,66.35,134.04,6.54,20.69,26.01,50.04,1.28,1.65,38.06,10.77,30.48,NA,NA,9.29,12.05,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:45:00,66.35,134.04,5.66,18.31,22.92,48.85,1.87,1.65,42.00,9.74,28.67,NA,NA,8.82,11.47,NA,NA,NA,NA,NA,0.00,NA,NA,NA
