Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,34.42,97.34,3.12,17.79,12.00,9.28,5.91,0.24,27.00,4.20,9.65,2.60,NA,2.77,3.35,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:15:00,34.42,97.34,3.22,16.30,11.29,8.77,7.73,0.15,30.00,5.00,10.17,2.10,NA,2.49,2.97,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:30:00,34.42,97.34,3.81,16.33,11.78,8.93,7.38,0.26,28.00,4.26,8.89,2.00,NA,2.31,2.76,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:45:00,35.88,101.79,4.48,17.04,12.70,9.25,8.59,0.38,26.00,3.46,6.33,1.56,NA,2.05,2.46,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:00:00,36.38,103.32,4.87,19.40,14.28,9.03,8.34,0.42,24.00,4.52,8.62,1.57,NA,1.93,2.29,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:15:00,36.38,103.32,3.43,19.88,13.37,8.21,6.84,0.37,24.00,5.15,9.53,1.62,NA,2.01,2.39,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:30:00,36.38,103.32,2.45,19.48,12.36,8.70,7.21,0.39,24.00,6.36,11.28,1.62,NA,2.35,2.74,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:45:00,39.44,112.64,3.62,21.74,14.51,8.75,7.13,0.45,21.00,7.13,10.99,1.61,NA,2.45,2.91,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:00:00,40.49,115.84,4.18,22.09,15.15,9.13,6.66,0.45,20.00,7.51,11.37,1.87,NA,2.29,2.69,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:15:00,40.49,115.84,3.89,21.01,14.34,8.97,6.64,0.37,19.00,8.31,13.15,1.80,NA,2.70,3.18,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:30:00,40.49,115.84,2.64,19.67,12.61,9.29,5.60,0.32,17.00,8.31,13.79,1.76,NA,2.65,3.16,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:45:00,42.10,120.78,3.60,19.24,13.16,9.71,5.23,0.38,15.00,7.45,12.70,1.87,NA,2.54,3.04,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:00:00,42.63,122.37,3.22,20.00,13.26,9.27,5.21,0.34,17.00,6.83,11.48,1.81,NA,2.58,3.05,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:15:00,42.63,122.37,1.53,19.56,11.19,8.72,5.79,0.34,14.00,7.20,12.37,1.78,NA,2.43,2.81,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:30:00,42.63,122.37,2.80,19.18,12.45,9.55,5.97,0.55,11.00,7.34,12.29,1.77,NA,2.41,2.80,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:45:00,41.73,119.63,4.54,19.95,14.30,9.76,6.09,0.50,11.00,7.69,12.90,1.91,NA,2.72,3.16,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:00:00,41.43,118.74,4.65,20.00,14.42,10.57,5.91,0.46,14.00,7.75,13.10,1.81,NA,2.56,2.94,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:15:00,41.43,118.74,3.58,20.99,14.08,10.15,6.55,0.37,11.00,7.36,13.27,1.92,NA,2.86,3.26,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:30:00,41.43,118.74,4.27,20.52,14.39,10.92,6.25,0.32,10.00,7.07,13.39,1.80,NA,2.58,2.90,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:45:00,39.48,112.78,4.80,20.13,14.61,10.70,6.58,0.35,9.00,7.13,13.92,1.96,NA,2.89,3.21,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:00:00,38.92,111.08,3.83,22.00,14.82,10.10,5.36,0.37,9.00,7.09,14.24,2.06,NA,2.87,3.10,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:15:00,38.92,111.08,5.57,21.98,16.22,11.17,6.64,0.45,8.00,7.07,14.48,2.07,NA,3.25,3.48,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:30:00,38.92,111.08,2.36,22.70,14.00,10.39,5.93,0.51,7.00,8.51,17.18,2.11,NA,3.08,3.31,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:45:00,36.58,103.95,3.62,24.29,15.86,10.51,6.25,0.54,7.00,11.00,20.17,2.63,NA,3.75,3.94,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:00:00,36.00,102.16,4.31,25.32,16.97,10.34,6.53,0.55,8.00,10.78,21.71,2.99,NA,4.84,5.01,NA,NA,NA,NA,NA,0.00,NA,NA,NA
