Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,81.56,163.10,31.34,37.83,51.46,34.52,NA,0.03,7.56,10.11,65.33,NA,NA,17.93,33.78,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:15:00,81.56,163.10,33.93,38.46,54.39,35.29,NA,0.03,7.08,9.23,62.24,NA,NA,18.25,33.85,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:30:00,85.37,165.43,32.60,37.55,52.57,34.78,NA,0.03,6.75,9.01,57.45,NA,NA,17.05,31.27,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:45:00,94.75,171.15,28.25,35.32,47.04,32.46,NA,0.03,10.70,9.46,59.89,NA,NA,17.81,32.78,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:00:00,94.75,171.15,32.04,39.42,53.01,35.24,NA,0.03,7.88,9.17,56.58,NA,NA,17.68,34.93,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:15:00,94.75,171.15,31.36,36.25,50.64,33.84,NA,0.03,8.17,9.02,53.20,NA,NA,15.85,30.60,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:30:00,95.72,175.28,30.88,36.12,50.09,33.77,NA,0.03,4.57,9.19,49.41,NA,NA,15.08,30.70,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:45:00,98.13,185.44,28.15,33.59,46.01,31.92,NA,0.03,7.38,10.14,51.13,NA,NA,15.85,31.84,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:00:00,98.13,185.44,29.25,33.10,46.85,32.47,NA,0.03,7.28,9.88,51.05,NA,NA,15.69,32.16,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:15:00,98.13,185.44,26.83,31.68,43.68,31.08,NA,0.03,11.79,9.13,48.47,NA,NA,14.40,27.65,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:30:00,96.87,178.48,24.64,29.64,40.41,30.09,NA,0.03,15.96,8.88,45.89,NA,NA,14.24,28.17,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:45:00,93.79,161.34,24.31,29.69,40.10,29.81,NA,0.03,17.69,8.28,44.42,NA,NA,13.34,24.58,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:00:00,93.79,161.34,25.67,30.56,41.93,30.37,NA,0.03,10.34,7.88,40.15,NA,NA,12.02,21.89,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:15:00,93.79,161.34,22.83,30.64,39.13,29.44,NA,0.03,16.33,7.75,39.17,NA,NA,12.60,23.54,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:30:00,93.50,156.21,23.29,28.98,38.70,29.23,NA,0.03,15.30,8.06,40.49,NA,NA,13.29,24.54,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:45:00,92.79,143.59,23.04,28.63,38.27,29.09,NA,0.03,19.70,7.77,37.52,NA,NA,11.98,20.72,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:00:00,92.79,143.59,22.16,28.04,37.08,28.94,NA,0.03,17.20,7.78,37.42,NA,NA,11.95,21.83,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:15:00,92.79,143.59,21.90,27.54,36.55,28.38,NA,0.03,15.96,7.51,35.72,NA,NA,10.92,19.55,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:30:00,90.65,141.56,21.36,27.35,35.91,27.89,NA,0.03,22.76,7.56,37.04,NA,NA,11.91,22.82,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:45:00,85.38,136.54,20.14,26.80,34.39,26.79,NA,0.03,21.05,7.73,41.25,NA,NA,12.05,23.28,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:00:00,85.38,136.54,22.08,26.42,36.13,27.75,NA,0.03,16.67,6.93,37.51,NA,NA,12.17,24.99,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:15:00,85.38,136.54,21.22,26.66,35.40,27.95,NA,0.03,16.12,6.81,34.80,NA,NA,10.34,20.52,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:30:00,83.37,132.85,22.05,28.79,37.37,28.45,NA,0.03,13.70,6.99,34.19,NA,NA,10.35,21.50,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:45:00,78.44,123.75,36.16,40.85,57.89,36.65,NA,0.03,3.26,7.01,36.44,NA,NA,11.01,20.85,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:00:00,78.44,123.75,28.67,35.58,47.59,32.55,NA,0.03,2.54,7.33,35.99,NA,NA,11.21,21.78,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:15:00,78.44,123.75,43.28,47.95,68.78,40.83,NA,0.03,2.32,8.13,46.58,NA,NA,13.55,26.75,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:30:00,78.53,127.95,54.77,59.99,86.68,48.84,NA,0.03,1.76,7.77,42.69,NA,NA,13.18,25.09,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:45:00,78.75,138.29,45.73,50.47,72.58,43.29,NA,0.03,1.57,8.80,47.74,NA,NA,13.46,23.77,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:00:00,78.75,138.29,41.08,46.71,65.92,40.35,NA,0.03,1.58,9.64,61.87,NA,NA,17.33,32.68,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:15:00,78.75,138.29,34.36,41.60,56.49,36.37,NA,0.03,1.55,9.85,67.14,NA,NA,18.46,33.39,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:30:00,78.61,141.89,31.77,38.66,52.33,35.00,NA,0.03,2.04,9.87,66.52,NA,NA,20.18,38.39,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:45:00,78.27,150.76,31.15,37.54,51.12,34.37,NA,0.03,3.00,9.11,55.71,NA,NA,16.89,30.38,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:00:00,78.27,150.76,29.06,36.32,48.38,33.31,NA,NA,5.86,8.23,47.69,NA,NA,14.94,28.05,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:15:00,78.27,150.76,29.08,35.63,48.03,33.08,NA,0.03,9.45,8.07,46.60,NA,NA,14.25,24.78,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:30:00,74.38,145.67,29.86,36.50,49.27,33.59,NA,0.03,10.46,7.29,43.16,NA,NA,13.99,23.23,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:45:00,64.80,133.14,32.97,37.29,52.80,35.46,NA,0.03,10.68,6.76,38.24,NA,NA,12.63,21.04,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:00:00,64.80,133.14,28.05,35.33,46.84,32.80,NA,0.03,14.37,6.83,39.26,NA,NA,12.73,22.44,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:15:00,64.80,133.14,34.37,40.51,55.91,36.78,NA,0.03,14.34,6.20,34.88,NA,NA,11.00,19.31,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:30:00,64.76,133.73,32.03,37.57,52.01,35.18,NA,0.03,10.12,6.12,32.17,NA,NA,9.96,17.82,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:45:00,64.65,135.16,34.07,41.96,56.39,36.77,NA,0.03,9.79,7.64,33.75,NA,NA,10.14,17.71,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 10:00:00,64.65,135.16,33.00,39.39,53.95,34.96,NA,0.03,13.43,6.40,30.74,NA,NA,9.52,18.31,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 10:15:00,64.65,135.16,32.39,37.91,52.56,35.02,NA,0.03,27.10,6.48,31.35,NA,NA,9.16,18.15,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 10:30:00,67.51,132.77,27.14,32.58,44.47,31.32,NA,0.03,36.71,6.31,31.06,NA,NA,8.51,16.31,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 10:45:00,74.54,126.89,29.31,32.04,46.35,31.80,NA,0.03,35.88,6.66,29.74,NA,NA,8.58,17.47,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 11:00:00,74.54,126.89,27.44,32.24,44.59,32.42,NA,0.03,37.24,5.20,23.38,NA,NA,6.60,14.01,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 11:15:00,74.54,126.89,26.22,30.97,42.70,30.73,NA,0.03,44.99,5.09,22.33,NA,NA,5.94,13.93,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 11:30:00,75.08,119.07,25.90,31.13,42.46,30.80,NA,0.03,59.21,4.72,22.65,NA,NA,5.76,14.06,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 11:45:00,76.40,99.82,26.05,31.71,42.91,31.36,NA,0.03,51.11,3.84,19.92,NA,NA,4.77,11.97,NA,NA,NA,NA,NA,0.00,NA,NA,NA
