Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,42.03,95.86,29.58,12.72,44.53,16.52,48.61,0.18,18.66,0.86,NA,NA,NA,1.64,2.15,27.26,68.64,1.05,253.16,NA,0.00,NA,883.58,NA
2025-01-01 00:15:00,44.00,91.44,25.37,12.22,39.97,15.60,51.29,0.16,18.64,0.91,NA,NA,NA,0.86,1.24,27.18,68.76,1.07,253.15,NA,0.00,NA,874.64,NA
2025-01-01 00:30:00,44.00,91.44,25.16,12.21,39.74,15.68,51.33,0.16,18.40,0.91,NA,NA,NA,0.86,1.24,27.05,69.16,1.07,253.20,NA,0.00,NA,874.64,NA
2025-01-01 00:45:00,44.00,91.44,25.43,12.05,39.86,15.85,51.54,0.16,18.65,0.91,NA,NA,NA,0.86,1.24,26.80,70.14,1.07,253.19,NA,0.00,NA,874.64,NA
2025-01-01 01:00:00,46.96,96.72,25.70,11.99,40.09,15.84,51.72,0.17,18.13,0.91,NA,NA,NA,0.86,1.24,26.48,71.79,1.07,253.17,NA,0.00,NA,874.64,NA
2025-01-01 01:15:00,58.00,115.20,25.93,12.01,40.32,15.93,51.83,0.17,18.04,0.91,NA,NA,NA,0.86,1.24,26.11,73.22,1.07,253.18,NA,0.00,NA,874.64,NA
2025-01-01 01:30:00,58.00,115.20,26.00,11.99,40.38,15.74,51.53,0.16,18.35,0.91,NA,NA,NA,0.86,1.24,25.88,74.10,1.07,253.09,NA,0.00,NA,874.64,NA
2025-01-01 01:45:00,58.00,115.20,26.11,11.90,40.39,15.72,51.44,0.17,18.15,0.91,NA,NA,NA,0.86,1.24,25.72,74.60,1.07,253.12,NA,0.00,NA,874.64,NA
2025-01-01 02:00:00,60.22,121.25,26.20,12.11,40.69,15.46,51.91,0.16,18.18,0.91,NA,NA,NA,0.86,1.24,25.49,75.28,1.07,253.07,NA,0.00,NA,874.64,NA
2025-01-01 02:15:00,68.50,141.12,26.05,12.01,40.45,15.50,51.38,0.17,18.57,0.91,NA,NA,NA,0.86,1.24,25.71,74.50,1.07,253.05,NA,0.00,NA,874.64,NA
2025-01-01 02:30:00,68.50,141.12,25.74,11.71,39.83,15.46,51.29,0.17,18.03,0.91,NA,NA,NA,0.86,1.24,25.54,75.07,1.07,253.04,NA,0.00,NA,874.64,NA
2025-01-01 02:45:00,68.50,141.12,25.50,11.79,39.66,15.61,51.09,0.17,18.21,0.91,NA,NA,NA,0.86,1.24,25.35,75.84,1.07,253.05,NA,0.00,NA,874.64,NA
2025-01-01 03:00:00,66.58,137.20,25.85,11.85,40.07,15.68,51.34,0.16,17.88,0.91,NA,NA,NA,0.86,1.24,25.32,76.07,1.07,253.05,NA,0.00,NA,874.64,NA
2025-01-01 03:15:00,59.50,123.84,25.89,11.80,40.07,15.49,51.40,0.17,18.31,0.91,NA,NA,NA,0.86,1.24,25.28,76.16,1.07,253.04,NA,0.00,NA,874.64,NA
2025-01-01 03:30:00,59.50,123.84,25.86,11.72,39.99,15.53,51.52,0.17,18.41,0.91,NA,NA,NA,0.86,1.24,25.22,76.17,1.07,253.02,NA,0.00,NA,874.64,NA
2025-01-01 03:45:00,59.50,123.84,26.02,11.85,40.26,15.36,51.27,0.16,18.02,0.91,NA,NA,NA,0.86,1.24,25.13,76.25,1.07,253.05,NA,0.00,NA,874.64,NA
