Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,68.37,124.17,2.92,66.82,20.98,39.56,1.62,1.30,32.00,12.34,35.11,NA,NA,5.14,8.98,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:15:00,71.84,128.66,2.03,84.62,25.21,44.14,2.93,1.28,19.00,12.14,34.72,NA,NA,5.07,8.33,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:30:00,75.16,132.96,2.82,95.52,28.89,47.16,2.06,1.39,13.00,13.16,38.48,NA,NA,6.01,10.63,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 00:45:00,75.16,132.96,3.17,96.58,29.47,48.72,2.42,1.33,10.00,14.90,41.84,NA,NA,6.98,13.36,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:00:00,75.16,132.96,1.77,90.89,26.75,45.59,1.65,1.25,10.00,17.97,42.11,NA,NA,7.16,14.24,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:15:00,77.58,134.77,2.20,92.98,27.68,45.59,4.37,1.21,10.00,20.71,40.62,NA,NA,6.94,14.29,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:30:00,79.90,136.58,3.47,102.01,31.23,49.36,3.74,1.21,7.00,25.76,37.98,NA,NA,6.43,13.15,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:45:00,79.90,136.58,3.24,115.41,34.78,52.99,3.59,1.12,6.00,30.48,37.53,NA,NA,6.34,12.74,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:00:00,79.90,136.58,4.63,116.23,36.13,54.63,2.84,1.21,4.00,31.16,38.31,NA,NA,6.76,13.27,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:15:00,77.24,134.20,6.41,132.41,42.09,60.19,3.12,1.25,3.00,31.79,37.99,NA,NA,7.65,14.36,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:30:00,74.69,131.92,7.35,126.38,41.17,60.33,2.87,1.22,3.00,30.80,38.74,NA,NA,8.43,15.68,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:45:00,74.69,131.92,7.39,124.98,40.81,59.51,3.76,1.25,3.00,26.82,37.93,NA,NA,8.91,15.58,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:00:00,74.69,131.92,7.33,140.27,45.02,63.74,1.74,1.33,3.00,25.16,38.21,NA,NA,9.33,16.25,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:15:00,75.01,129.39,4.92,136.36,41.98,60.32,3.10,1.17,4.00,24.88,39.85,NA,NA,9.85,17.62,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:30:00,75.32,126.81,4.31,118.51,36.50,55.71,2.99,1.29,5.00,22.34,39.73,NA,NA,10.29,18.34,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:45:00,75.32,126.81,4.51,125.90,38.73,57.76,2.41,1.35,3.00,19.26,37.68,NA,NA,9.98,16.94,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:00:00,75.32,126.81,9.91,142.20,47.66,66.24,4.06,1.34,NA,19.79,39.40,NA,NA,10.49,18.19,NA,NA,NA,NA,NA,0.00,NA,NA,NA
