Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,55.86,120.97,50.31,50.65,67.84,NA,NA,1.93,13.26,5.91,16.21,3.91,NA,6.90,2.90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 00:15:00,55.86,120.97,60.11,45.50,73.07,NA,NA,2.22,9.84,6.53,17.93,4.32,NA,7.63,3.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 00:30:00,60.87,134.51,46.72,49.98,64.57,NA,NA,2.03,8.36,6.08,16.68,4.02,NA,7.10,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 00:45:00,66.68,148.73,33.08,50.47,53.74,NA,NA,1.84,6.61,5.62,15.43,3.72,NA,6.56,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 01:00:00,66.68,148.73,29.15,34.87,42.25,NA,NA,1.81,5.67,5.46,14.98,3.61,NA,6.37,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 01:15:00,66.68,148.73,14.54,36.06,31.00,NA,NA,1.19,12.81,4.22,11.57,2.79,NA,4.92,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 01:30:00,66.13,147.41,8.49,34.19,25.04,NA,NA,0.94,7.13,3.48,9.56,2.30,NA,4.07,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 01:45:00,65.51,145.73,9.10,29.66,23.18,NA,NA,0.83,15.86,3.29,9.02,2.17,NA,3.83,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 02:00:00,65.51,145.73,11.83,26.43,23.68,NA,NA,0.80,5.39,3.20,8.79,2.12,NA,3.74,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 02:15:00,65.51,145.73,9.65,25.41,21.36,NA,NA,0.78,6.75,3.16,8.68,2.09,NA,3.69,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 02:30:00,61.01,133.04,7.18,25.31,19.27,NA,NA,0.79,8.90,3.19,8.76,2.11,NA,3.72,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 02:45:00,55.25,119.42,7.88,25.21,19.77,NA,NA,0.78,20.33,3.16,8.66,2.08,NA,3.68,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 03:00:00,55.25,119.42,9.08,24.58,20.40,NA,NA,0.95,5.87,3.53,9.69,2.33,NA,4.12,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 03:15:00,55.25,119.42,9.09,26.60,21.52,NA,NA,1.13,11.35,3.96,10.86,2.62,NA,4.62,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 03:30:00,53.14,114.25,13.10,25.68,24.24,NA,NA,0.69,20.56,3.02,8.29,1.99,NA,3.52,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 03:45:00,50.70,107.74,10.73,21.64,20.18,NA,NA,0.59,7.37,2.72,7.45,1.79,NA,3.17,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
