Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,70.86,155.59,13.14,81.40,56.44,NA,NA,0.83,19.21,1.61,8.39,0.98,NA,1.52,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 00:15:00,70.86,155.59,27.48,87.26,73.90,NA,NA,1.44,13.18,1.65,8.06,1.00,NA,1.56,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 00:30:00,82.48,158.46,59.55,109.74,117.93,NA,NA,1.88,14.77,1.63,8.04,0.97,NA,1.52,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 00:45:00,96.99,184.26,23.67,87.50,70.22,NA,NA,1.62,16.65,1.66,8.28,0.93,NA,1.51,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 01:00:00,96.99,184.26,17.53,84.87,62.68,NA,NA,1.30,14.99,1.67,8.13,0.96,NA,1.50,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 01:15:00,96.99,184.26,36.75,89.37,84.29,NA,NA,1.10,14.25,1.66,8.28,1.00,NA,1.57,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 01:30:00,98.69,183.05,23.78,83.93,68.43,NA,NA,1.22,15.19,1.69,7.90,1.00,NA,1.60,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 01:45:00,100.72,172.14,14.19,71.65,52.30,NA,NA,1.13,20.20,1.73,8.62,1.01,NA,1.60,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 02:00:00,100.72,172.14,19.13,74.17,58.58,NA,NA,1.15,12.76,1.72,8.73,1.02,NA,1.59,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 02:15:00,100.72,172.14,17.26,76.26,57.82,NA,NA,1.14,14.22,1.68,8.14,1.00,NA,1.57,1.90,NA,NA,NA,NA,NA,NA,NA,NA,NA
