Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,74.01,158.81,44.49,77.71,85.83,NA,12.84,1.58,2.63,1.43,22.91,7.62,NA,7.81,17.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 00:15:00,71.76,153.28,56.19,78.81,87.60,NA,14.32,1.53,2.78,1.39,22.40,7.37,NA,7.68,16.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 00:30:00,73.97,157.54,105.42,84.26,130.53,NA,10.50,2.14,2.38,1.17,21.10,6.82,NA,7.30,15.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 00:45:00,88.17,185.97,145.59,83.23,162.64,NA,20.29,2.79,3.19,1.23,20.80,6.79,NA,7.32,15.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 01:00:00,92.64,191.96,148.21,81.59,163.89,NA,31.74,2.88,2.35,1.65,24.15,8.03,NA,9.01,18.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 01:15:00,92.59,190.68,112.71,71.96,129.91,NA,30.71,2.45,1.70,2.18,28.40,9.37,NA,10.28,21.30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 01:30:00,92.42,188.70,109.65,72.34,127.63,NA,25.44,2.64,2.31,2.58,28.75,9.63,NA,10.17,22.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 01:45:00,95.39,194.88,94.80,70.72,114.69,NA,11.90,2.28,1.92,2.12,27.05,8.70,NA,9.10,19.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 02:00:00,95.88,195.42,125.35,75.12,141.87,NA,14.73,2.67,2.13,1.99,27.23,8.94,NA,9.52,20.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 02:15:00,97.25,196.26,116.80,73.52,134.06,NA,16.65,2.35,1.93,1.74,26.60,8.49,NA,8.97,19.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 02:30:00,98.60,198.53,100.83,72.29,120.42,NA,18.17,2.20,2.45,1.97,27.75,8.99,NA,9.33,20.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 02:45:00,106.83,215.13,110.21,75.89,129.97,NA,17.99,2.10,1.53,1.85,27.19,8.71,NA,8.99,20.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
